id,artist_group,artist_name,Conceptual Group 1,Conceptual Group 2,theme,quote,paragraph_number_in_interview,pdf_page,order
PA0094,Painters,Felice Varini,C,Identity,Point of view,… once I choose a space I start a new thinking process with it.,32,269,273
PA0095,Painters,Felice Varini,C,Identity,Point of view,[art is about]… thinking and choosing.,53,269,274
PA0096,Painters,Felice Varini,C,Identity,Self discovery through art,Every day you can discover something new…,32,269,275
PA0097,Painters,Barry Stevens,C,Identity,Self discovery through art,Inspiration flows through me as a sense of connection and flow; a sense of well-being and feeling in tune with life... inner peace… discovery…,28,269,276
PA0098,Painters,Felice Varini,C,Identity,Self discovery through art,I discovered the world of painting … and … my desire to paint. It was a strong feeling; I would ‘burn’ in the middle of a painting.,46,270,277
PA0099,Painters,Barry Stevens,C,Identity,Self discovery through art,I had a strong feeling that a way to explore consciousness deeply was to turn within… a power pulling me inwards …art was … a way to facilitate that…,47,270,278
PA0100,Painters,Felice Varini,C,Identity,Self discovery through art,"It is not a source of inspiration ‘falling’ on you… Painting is about choices, attitudes…a desire to discover something new.",49,270,279
PA0101,Painters,Natalie Dekel,C,Faculties,Senses,"I saw a white outline, a symbol.",32,270,280
PA0102,Painters,Paul Hartal,C,Faculties,Senses,… we can gain deeper insights about the true nature of the universe through our senses than through our intellect.,14,270,281
PA0103,Painters,Felice Varini,C,Faculties,Senses,My relationship with the space is trying to discover more things that we can not normally see.,37,270,282
PA0104,Painters,Melanie Chan,C,Faculties,Senses,I prefer to be quiet when painting; it is in the silence… that the communion with the flowers can take place.,14,270,283
PA0105,Painters,Natalie Dekel,C,Faculties,Senses,"If I have a feeling it may be like asking oneself, ‘Remember omelette?’…",34,270,284
PA0106,Painters,Paul Hartal,C,Faculties,Senses,… genuine knowledge can be only achieved by the experience of the senses…,46,270,285
PA0107,Painters,Melanie Chan,C,Faculties,Senses,…necessary … to pay attention to nature and it is then that I get ... urge to express that relationship.,19,270,286
PA0108,Painters,Natalie Dekel,C,Faculties,Senses,"[translating feelings to colours] …is perhaps a thought, a word, a feeling, or just an urge…  an unexplainable feeling for a particular taste?...",35,270,287
PA0109,Painters,Melanie Chan,C,Faculties,Senses,I am looking intently yet … gently at the flowers … and it draws me into a non-verbal communication experience. This is why I prefer to be quiet when painting.,28,270,288
PA0110,Painters,Barry Stevens,B,Creative State,Surrender,For this to occur one has to surrender to the process [of creativity].,4,270,289
PA0111,Painters,Barry Stevens,B,Creative State,Surrender,Surrender involves the recognition that a greater or higher power is working through one and that one does not actually exist independent of the whole.,6,270,290
PA0112,Painters,Barry Stevens,B,Creative State,Surrender,When I surrender into the centre there is the awareness of being beyond time and space.,10,270,291
PA0113,Painters,Natalie Dekel,A,Visual Language,Symbol,"I saw a white outline, a symbol.",32,270,292
PA0114,Painters,Paul Hartal,A,Visual Language,Symbol,… all art disciplines share common traits… in different forms… specific set of symbols.,5,270,293
PA0115,Painters,Felice Varini,A,Visual Language,Symbol,"… I move the concept, and can remake it…",22,270,294
PA0116,Painters,Felice Varini,A,Visual Language,Symbol,… I began to think of painting without any representation.,46,270,295
PA0117,Painters,Natalie Dekel,B,Transcendence,Transcendental reality (independent of artist),"I am trying to convey the soul and the emotion behind it; a soul which is contained in a bottle, a body.",46,270,296
PA0118,Painters,Paul Hartal,B,Transcendence,Transcendental reality (independent of artist),… the sources of creativity transcend the individual.,5,270,297
